X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.2869442,47.49998475,1,6002948,0,600,Green River Trail Site - Tukwila,Green River Trail Site - Tukwila,27th Ave S and S 112th St to 69th Ave S and S 180th St,98188
-122.3054649,47.63553164,2,828,0,600,Interlaken Park,Interlaken Park,Interlaken Pl & Delmar Dr E,98102
-122.2110639,47.40596103,3,374,0,600,Garrison Creek Park,Garrison Creek Park,S 218th St & 98th Ave S,98031
-121.912156,47.65046566,4,1891,124849,390,Carnation Library,Carnation Lib,4804 Tolt  Ave,98014
-122.2950383,47.44134821,5,1817,401027,60,Sea-Tac Office Center,Sea-Tac Office Center,18000 Pacific Hwy S,98188
-122.3541811,47.61389728,6,1774,0,630,Pier 69,Pier 69,Alaslan Way & Cedar St,98121
-122.1053573,47.66391289,7,621,0,600,Marymoor Park East,Marymoor Park East,176th Ave NE & NE 65th St,98052
-122.3842015,47.66981946,8,897,327094,390,Ballard Library,Ballard Lib,5614 22nd Ave NW,98107
-122.3443895,47.61051363,9,1061,0,600,Victor Steinbrueck Park,Victor Steinbrueck Park,Lenora St & Pike Pl,98121
-122.2068807,47.61747935,10,130,0,600,Goodard Park,Goodard Park,100th Ave NE & NE 8th St,98004
-122.0030076,47.30852425,11,352055,0,350,Diamond Mart,Diamond Mart,32632 3RD AVE,98010
-122.3377056,47.60509512,12,352056,0,350,Diane'S Market Kitchen; Llc,Diane'S Market Kitchen; Llc,1101 POST ALY,98101
-122.3739871,47.6304068,13,352057,0,350,Dianne'S Delights Llc,Dianne'S Delights Llc,1405 ELLIOTT AVE W #D,98119
-122.2160139,47.32066777,14,352059,0,350,Dick Scobee Elementary,Dick Scobee Elementary,1031 14TH ST NE,98002
-122.350644,47.61557857,15,351668,0,350,Cj'S Eatery,Cj'S Eatery,2619 1ST AVE,98121
-122.3328352,47.55388897,16,351674,0,350,Classic Catering Northwest,Classic Catering Northwest,115 S BRANDON ST,98108
-122.3627218,47.55167133,17,351675,0,350,Classic Street Dining @ 10500 Greenwood Ave N,Classic Street Dining,5604 DELRIDGE WAY SW,98106
-122.2375064,47.32820139,18,351676,0,350,Classics Court,Emerald Downs,2300 EMERALD DOWNS DR,98001
-122.178722,47.551676,19,351687,0,350,Cloud Nine Burgers,Cloud Nine Burger,5630 119TH AVE SE,98006
-122.3979683,47.69044498,20,351697,0,350,Cocina Esperanza,Cocina Esperanza,3127 NW 85TH ST,98117
-122.2097786,47.70346885,21,351733,0,350,Columbia Athletic Club,Columbia Athletic Club,11450 98TH AVE NE,98033
-122.1520326,47.73388506,22,351739,0,350,Columbia Winery,Columbia Winery,14030 NE 145TH ST,98072
