School Name,Location,School Year,Within District Boundary,Reported,Grade Levels,Total Enrollment,COMPLETE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Exempt DT,Exempt Pertussis,Exempt MMR,Exempt Polio,Exempt Hep B,Exempt Varicella,Location 1
KIRKLAND SDA SCHOOL,"5320 108TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,N,K-8,0,,,,,,,,,,,,,"5320 108TH AVE NE
KIRKLAND
(47.656586, -122.195246)"
MAKKAH ISLAMIC SCHOOL,"3613 S JUNEAU ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,P-8,0,,,,,,,,,,,,,"3613 S JUNEAU ST
SEATTLE
(47.5495424, -122.2866149)"
TWO RIVERS SCHOOL,"330 BALLARAT AVE N, NORTH BEND, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,7-12,98,71.4,18.4,0,17.3,1,0,16.3,14.3,17.3,16.3,17.3,17.3,"330 BALLARAT AVE N
NORTH BEND
(47.4961678, -121.7821132)"
BRYANT ELEMENTARY SCHOOL,"3311 NE 60 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,595,88.6,3.7,1.8,2.5,0.2,0,1.7,1.7,1.7,2.2,2.4,3,"3311 NE 60 ST
SEATTLE
(47.6711946, -122.2921117)"
THURGOOD MARSHALL ELEMENTARY,"2401 S IRVING ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,544,92.3,4,1.7,2.2,0,0.2,0.7,0.7,1.7,0.7,1.7,2.6,"2401 S IRVING ST
SEATTLE
(47.590961, -122.299264)"
MCGILVRA ELEMENTARY SCHOOL,"1617 38 AV E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,282,94,3.5,2.5,1.1,0,0,2.1,2.1,1.8,2.1,2.1,2.5,"1617 38 AV E
SEATTLE
(47.633989, -122.28482)"
DARTMOOR SCHOOL--ISSAQUAH,"22500 SE 64TH PL, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,1-12,6,100,0,0,0,0,0,0,0,0,0,0,0,"22500 SE 64TH PL
ISSAQUAH
(47.5441035, -122.0403106)"
CEDARHURST ELEMENTARY,"611 S 132ND ST, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,624,95.8,0.6,0,0.6,0,0,0.6,0.6,0.6,0,0.5,0.5,"611 S 132ND ST
BURIEN
(47.483981, -122.324953)"
RENTON CHRISTIAN SCHOOL,"15717 152ND AVE SE, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,P-8,429,88.3,11.7,0.2,11.2,0,0.2,7.2,7.2,7.9,7,8.4,9.1,"15717 152ND AVE SE
RENTON
(47.4622999, -122.137986)"
MADRONA ELEMENTARY,"20301 32ND AVENUE SOUTH, SEATAC, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,698,81.5,0.3,0.3,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,"20301 32ND AVENUE SOUTH
SEATAC
(47.4203342, -122.2934237)"
