X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.1523029,47.60846057,1,207,80,662,Sammamish High School,Sammamish,100 140th Ave SE,98005,-122.1523045,47.60845843,10,BELLEVUE,3425059019,342505,9019,School-High,3282
-122.2054148,47.76890645,2,263,113,660,Saint Brendan Catholic School,Saint Brendan,10049 NE 195th St,98011,-122.2054157,47.76890453,20,NORTHSHORE,526059084,52605,9084,School-Elementary,0
-122.3484544,47.52526513,3,884,527409,660,Highland Park Elementary School,Highland Park,1012 SW Trenton St,98106,-122.3484565,47.5252633,10,SEATTLE,7972603210,797260,3210,School-Elementary,2269
-122.2001698,47.6672445,4,475,8634,660,Lakeview Elementary School,Lakeview,10400 NE 68th St,98033,-122.2001713,47.66724247,10,LAKE WASHINGTON,7882600132,788260,132,School-Elementary,3041
-122.2947267,47.70804211,5,1093,12282,662,Nathan Hale High School,Nathan Hale,10750 30th Ave NE,98125,-122.294728,47.70804026,10,SEATTLE,2826049152,282604,9152,School-High,3479
-122.1911174,47.66380199,6,6600178,8643,664,International Community School,International Community,11133 NE 65th St  ,98033,-122.1911188,47.66379994,10,LAKE WASHINGTON,825059248,82505,9248,School-Alternative,1706
-122.3157835,47.5019998,7,1286,12270,660,Southern Heights Elementary School,Southern Heights,11249 14th Ave S,98168,-122.3157857,47.50199793,10,HIGHLINE,3361400255,336140,255,School-Elementary,3032
-122.1837271,47.50572263,8,6600369,12184,661,McKnight Middle School,McKnight,1200 Edmonds Ave NE,98056,-122.1837293,47.50572053,10,RENTON,423059048,42305,9048,School-Junior High/Middle,3035
-122.2322959,47.49252175,9,1307,519618,661,Dimmit Middle School,Dimmit,12320 80th Ave S,98178,-122.2322982,47.49251977,10,RENTON,1180007450,118000,7450,School-Junior High/Middle,3280
-121.8758166,47.53249338,10,6600676,195119,660,Cascade View Elementary School-Snoqualmie,Cascade View,34816 SE Ridge St,98065,-121.8758183,47.53249075,10,SNOQUALMIE VALLEY,2624079047,262407,9047,School-Elementary,5015
-122.3404843,47.69510458,11,6600134,269619,661,Robert Eagle Staff Middle School,Robert Eagle Staff,1330 N 90th St,98103,-122.3404856,47.69510282,10,SEATTLE,3126049064,312604,9064,School-Junior High/Middle,0
-122.1757209,47.31357465,12,46,778311,663,Green River College,GRC,12401 SE 320th St,98092,-122.1757242,47.31357254,10,AUBURN,1621059003,162105,9003,School-College or University,5952
-122.3080271,47.63193148,13,950,425772,660,Stevens Elementary School,Stevens,1242 18th Ave E,98112,-122.3080288,47.63192964,10,SEATTLE,1337801270,133780,1270,School-Elementary,2080
-122.1739635,47.41667156,14,381,8580,662,Kentridge High School,Kentridge,12430 SE 208th St,98031,-122.1739662,47.41666943,10,KENT,422059014,42205,9014,School-High,3640
-122.1733089,47.66213741,15,451,8638,660,Benjamin Franklin Elementary School,Benjamin Franklin,12434 NE 60th St,98033,-122.1733103,47.66213533,10,LAKE WASHINGTON,925059028,92505,9028,School-Elementary,0
-122.1724978,47.43103725,16,737,604256,661,Meeker Middle School,Meeker,12600 SE 192nd St,98058,-122.1725004,47.43103512,10,KENT,3323059054,332305,9054,School-Junior High/Middle,3764
-122.1728764,47.59195799,17,169,89,660,Woodridge Elementary School,Woodridge,12619 SE 20th Pl,98005,-122.1728781,47.59195588,10,BELLEVUE,9541600595,954160,595,School-Elementary,3167
-122.1709137,47.55217136,18,6600686,237975,664,Jing Mei Elementary School,Jing Mei,12635 SE 56th St,98006,-122.1709156,47.55216924,10,BELLEVUE,2124059022,212405,9022,School-Alternative,
-122.1718999,47.40613689,19,400,8585,660,Soos Creek Elementary School,Soos Creek,12651 SE 218th Pl,98031,-122.1719026,47.40613476,10,KENT,922059107,92205,9107,School-Elementary,3707
-122.1709941,47.37833377,20,401,670208,660,Martin Sortun Elementary School,Martin Sortun ,12711 SE 248th St,98030,-122.170997,47.37833164,10,KENT,2122059018,212205,9018,School-Elementary,4294
-122.2304444,47.71592493,21,499,8618,660,Carl Sandburg Elementary School,Carl Sandburg,12801 84th Ave NE,98034,-122.2304456,47.71592296,10,LAKE WASHINGTON,3840700025,384070,25,School-Elementary,0
-122.2304444,47.71592493,22,6600012,8618,664,Discovery Community School,Discovery Community,12801 84th Ave NE,98034,-122.2304456,47.71592296,10,LAKE WASHINGTON,3840700025,384070,25,School-Alternative,1658
-122.3068564,47.72405544,23,1099,248792,660,Olympic Hills Elementary School,Olympic Hills,13018 20th Ave NE,98125,-122.3068576,47.72405361,10,SEATTLE,2126049041,212604,9041,School-Elementary,2976
-122.3543347,47.72468242,24,1129,247735,660,Broadview-Thomson K-8 School,Broadview-Thomson,13052 Greenwood Ave N,98133,-122.3543359,47.7246807,10,SEATTLE,1926049025,192604,9025,School-Elementary,2209
-122.3522175,47.31017482,25,329,2382,660,Silver Lake Elementary School,Silver Lake,1310 SW 325th Pl,98023,-122.3522208,47.31017308,10,FEDERAL WAY,1821049033,182104,9033,School-Elementary,4343
-122.2110688,47.30645127,26,69,41,660,Valley Christian School,Valley Christian,1312 2nd St SE,98002,-122.2110721,47.30644924,20,AUBURN,2149800171,214980,171,School-Elementary,0
-122.1959499,47.68603878,27,485,8628,660,Peter Kirk Elementary School,Peter Kirk,1312 6th St,98033,-122.1959513,47.68603675,10,LAKE WASHINGTON,3982701890,398270,1890,School-Elementary,0
-122.3730774,47.68359111,28,1018,835325,660,Whittier Elementary School,Whittier,1320 NW 75th St,98117,-122.3730788,47.68358941,10,SEATTLE,4240400005,424040,5,School-Elementary,2092
-122.3404843,47.69510458,29,2148,269619,664,Licton Springs K-8 School,Licton Springs,1330 N 90th St,98103,-122.3404856,47.69510282,10,SEATTLE,3126049064,312604,9064,School-Alternative,0
-121.7669514,47.4802128,30,596,12129,660,Opstad Elementary School,Opstad,1345 Stilson Ave SE,98045,-121.7669531,47.48021026,10,SNOQUALMIE VALLEY,1523089156,152308,9156,School-Elementary,4308
-122.2918126,47.60210197,31,1066,447772,660,Leschi Elementary School,Leschi,135 32nd Ave,98122,-122.2918144,47.60210009,10,SEATTLE,3416600240,341660,240,School-Elementary,2121
-122.1597109,47.66940355,32,637,12152,661,Rose Hill Middle School,Rose Hill Middle,13505 NE 75th St,98052,-122.1597123,47.66940145,10,LAKE WASHINGTON,1025059119,102505,9119,School-Junior High/Middle,3706
-122.1597109,47.66940355,33,6600179,12152,664,Stella Schola Middle Schol,Stella Schola,13505 NE 75th St,98052,-122.1597123,47.66940145,10,LAKE WASHINGTON,1025059119,102505,9119,School-Alternative,1975
-122.327678,47.72798523,34,1091,254609,661,Lakeside Middle School,Lakeside Middle,13510 1st Ave NE,98125,-122.3276793,47.72798345,20,SEATTLE,2026049022,202604,9022,School-Junior High/Middle,0
-122.1583348,47.57354372,35,189,96,661,Tyee Middle School,Tyee,13630 SE Allen Rd,98006,-122.1583367,47.57354158,10,BELLEVUE,1524059005,152405,9005,School-Junior High/Middle,3283
-122.1956915,47.72481247,36,504,165571,660,Helen Keller Elementary School,Helen Keller,13820 108th Ave NE,98034,-122.1956927,47.72481045,10,LAKE WASHINGTON,2026059105,202605,9105,School-Elementary,0
-122.3319773,47.47807431,37,1278,151,662,John F. Kennedy Catholic High School,John F. Kennedy,140 S 140th St,98168,-122.3319797,47.47807247,20,HIGHLINE,1723049528,172304,9528,School-High,0
-122.326753,47.7327026,38,1090,250279,662,Lakeside High School,Lakeside High,14050 1st Ave NE,98125,-122.3267542,47.73270082,20,SEATTLE,2832100190,283210,190,School-High,0
-122.1517856,47.56292098,39,185,99,660,Somerset Elementary School,Somerset,14100 Somerset Blvd SE,98006,-122.1517875,47.56291882,10,BELLEVUE,1524059091,152405,9091,School-Elementary,3789
-122.164941,47.72730338,40,509,21187,661,Kamiakin Middle School,Kamiakin,14111 132nd Ave NE,98034,-122.1649421,47.72730131,10,LAKE WASHINGTON,2126059123,212605,9123,School-Junior High/Middle,3922
-121.9921508,47.20436448,41,6600670,393851,663,Green River College - Enumclaw Campus,GRC,1414 Griffin Ave,98022,-121.9921531,47.2043628,10,ENUMCLAW,2420069046,242006,9046,School-College or University,0
-122.1415518,47.4533692,42,727,597271,660,Fairwood Elementary School,Fairwood,16600 148th Ave SE,98058,-122.1415542,47.45336699,10,KENT,2623059007,262305,9007,School-Elementary,3678
-122.1179286,47.63949149,43,211,63,660,Ardmore Elementary School,Ardmore,16616 NE 32nd St,98008,-122.1179302,47.6394893,10,BELLEVUE,2425059033,242505,9033,School-Elementary,3633
-122.1113642,47.45259734,44,733,602982,660,Maple Valley Christian Elementary School,Maple Valley Christian,16700 174th Ave SE,98058,-122.1113666,47.45259506,20,KENT,2523059050,252305,9050,School-Elementary,0
