,Estimates of Total Population for ZIP Code Tabulation Areas by County Part,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Estimates are approximations. Accuracy evaluation for Washington's small area estimates is still in progress. However, based on other evaluations of small area estimates, the",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"error for areas of about 1,000 in population may range from 5 to 15 percent. Variances for smaller areas may be considerably higher. Furthermore, all SAEP estimates are",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,subject to change due to data updates and revisions. Use these data with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,County Name,County Code FIPS,ZIP Code Tabulation Area (5-Digit),SAEP Version,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,Estimated Total Population 2020,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2020,Percent Change in Population 2010 to 2020
10,Adams,001,98857,"September 16, 2020",101.037,106.194,110.984,115.48,121.606,125.987,129.553,134.72,139.796,144.5,150,151.007,149.935,160.028,160.89,167.928,165.243,170.127,169.905,169.217,167.63,48.963,0.4846,17.63,0.11753
11,Adams,001,99032,"September 16, 2020",18.006,17.851,17.63,17.366,17.344,17.067,16.692,16.529,16.352,16.134,16,16.247,16.127,15.872,15.869,15.535,15.272,15.293,15.271,15.184,16.603,-2.006,(   11.141%),0.603,0.03769
12,Adams,001,99105,"September 16, 2020",64.919,64.684,64.22,63.602,63.864,63.189,62.151,61.902,61.6,61.136,61,62.044,60.692,60.48,61.163,58.954,57.788,57.587,57.486,56.266,56.863,-3.919,(    6.037%),-4.137,(    6.782%)
13,Adams,001,99159,"September 16, 2020",130.047,134.675,138.828,142.627,148.427,152.088,154.786,159.413,163.926,168.004,173,178.646,181.975,184.794,185.384,191.779,199.953,200.69,200.493,202.442,206.715,42.953,0.33029,33.715,0.19488
14,Adams,001,99169,"September 16, 2020",2595.052,2584.083,2563.907,2537.596,2546.312,2517.769,2474.677,2463.037,2449.322,2429.135,2422,2474.737,2466.458,2463.352,2459.368,2432.839,2432.576,2432.564,2432.498,2427.122,2459.963,-173.052,(    6.669%),37.963,0.01567
15,Adams,001,99326,"September 16, 2020",26.009,25.771,25.442,25.051,25.007,24.595,24.044,23.797,23.533,23.203,23,20.108,19.939,19.769,19.778,22.973,22.498,22.533,22.475,22.332,22.267,-3.009,(   11.569%),-0.733,(    3.187%)
16,Adams,001,99333,"September 16, 2020",39.015,36.803,34.457,32.039,30.048,27.606,25.036,22.801,20.54,18.223,16,16.102,15.956,15.869,16.036,14.674,14.388,14.409,14.385,14.283,14.393,-23.015,(   58.990%),-1.607,(   10.044%)
17,Adams,001,99341,"September 16, 2020",955.35,950.542,942.348,931.91,934.326,923.064,906.479,901.42,895.606,887.415,884,882.991,885.133,885.241,883.791,879.47,865.938,866.131,862.142,859.063,856.745,-71.35,(    7.468%),-27.255,(    3.083%)
18,Adams,001,99344,"September 16, 2020",12119.427,12405.56,12647.979,12858.617,13248.95,13447.304,13562.964,13848.192,14122.858,14360.345,14676,14842.576,14943.982,15080.132,15279.674,15321.023,15428.296,15782.485,15940.814,16080.125,16336.998,2556.573,0.21095,1660.998,0.11318
19,Adams,001,99371,"September 16, 2020",379.138,372.837,365.205,356.712,353.116,344.331,333.618,327.189,320.467,312.905,307,305.542,309.803,314.463,318.047,304.825,308.048,308.181,304.531,303.966,311.823,-72.138,(   19.027%),4.823,0.01571
20,Asotin,003,99401,"September 16, 2020",265.021,265.715,265.165,265.321,265.646,267.126,269.576,272.027,272.845,273.182,273,277.245,279.288,280.795,284.552,292.469,301.071,303.082,306.346,309.489,310.659,7.979,0.03011,37.659,0.13795
21,Asotin,003,99402,"September 16, 2020",1664.991,1685.324,1697.663,1714.46,1732.274,1757.575,1789.454,1821.49,1842.706,1860.646,1875,1879.056,1879.549,1900.006,1912.121,1915.399,1952.89,1962.82,1970.642,1981.587,1976.925,210.009,0.12613,101.925,0.05436
22,Asotin,003,99403,"September 16, 2020",18620.988,18698.961,18689.172,18729.219,18781.08,18914.299,19116.97,19319.483,19406.449,19459.172,19475,19493.699,19541.163,19619.199,19753.327,19802.132,19896.039,20024.098,20143.012,20228.924,20352.416,854.012,0.04586,877.416,0.04505
